Month,Day,Inquirer.net,Manila Bulletin,The Asian Journal USA,The Manila Times,Business World,Eagle News,Metro Cebu News,Tempo,Abante Tonite,Philippine News Agency,InterAksyon,Business Mirror,The Summit Express,Our Daily News Online,Current PH,SunStar Philippines,Rappler,The Bohol Chronicle,Baguio Midland Courier,GMA News Online,Cebu Daily News,ABS-CBN News,Philstar.com,Manila Standard,Daily Tribune,Davao Today,Sunday Punch,Visayan Daily Star,PTV News,Mindanao Times,PhilNews.XYZ,Northern Dispatch
March,27,0,0,0,362,22,0,2,0,0,0,1,16,0,0,0,7,7,0,0,5,0,3,22,4,15,0,0,2,0,0,0,0
March,28,0,0,0,338,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,3,1,3,18,3,6,0,0,0,0,0,0,0
March,29,0,0,0,135,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,2,3,3,5,2,3,0,0,0,0,0,0
March,30,0,0,0,64,0,0,0,0,0,0,0,6,0,0,0,5,3,0,0,3,1,2,3,2,5,0,1,0,0,0,0,0
March,31,0,0,0,7,8,0,0,0,0,0,0,6,1,0,0,3,1,0,0,2,0,1,11,16,7,0,0,0,0,0,0,0
April,1,0,0,0,123,13,0,1,0,0,0,0,12,0,0,0,11,2,0,0,1,0,5,12,18,13,0,0,0,0,0,0,0
April,2,0,0,0,51,13,0,1,0,0,0,1,23,1,0,0,10,8,0,0,6,2,8,26,13,21,1,0,1,0,0,0,0
April,3,0,0,0,173,14,0,1,0,0,0,0,15,0,0,0,18,5,0,0,6,1,9,19,12,7,1,0,0,0,0,0,0
April,4,0,0,0,244,12,0,1,0,0,0,1,21,0,0,0,14,2,0,0,6,1,5,20,22,8,0,0,0,1,0,0,0
April,5,0,0,0,255,4,0,1,0,0,0,0,7,0,0,0,7,4,0,0,3,0,5,21,10,9,2,0,2,1,0,0,0
April,6,0,0,0,67,1,0,0,0,0,0,0,7,0,0,0,5,4,0,0,1,1,2,19,8,6,1,0,0,0,0,0,0
